ano,mes,ceasa,produto,categoria,preco_medio_kg,quantidade_kg,fonte_arquivo,fonte_aba
2024,1,CEASA/ES - Vitória,ALFACE,Hortaliças,4.195899846789934,47647.0,tabelas-de-dados-boletim-hortigranjeiro-abril-2024.xlsx; tabelas-de-dados-boletim-hortigranjeiro-agosto-2024.xlsx; tabelas-de-dados-boletim-hortigranjeiro-dezembro-2024.xlsx; tabelas-de-dados-boletim-hortigranjeiro-fevereiro-2024.xlsx; tabelas-de-dados-boletim-hortigranjeiro-julho-2024.xlsx; tabelas-de-dados-boletim-hortigranjeiro-junho-2024.xlsx; tabelas-de-dados-boletim-hortigranjeiro-maio-2024.xlsx; tabelas-de-dados-boletim-hortigranjeiro-marco-2024.xlsx; tabelas-de-dados-boletim-hortigranjeiro-novembro-2024.xlsx; tabelas-de-dados-boletim-hortigranjeiro-outubro-2024.xlsx; tabelas-de-dados-boletim-hortigranjeiro-setembro-2024.xlsx,Preços-Alface; Quantidade-Alface
2024,1,CEASA/ES - Vitória,BANANA,Frutas,3.6264659440213034,2767517.0,tabelas-de-dados-boletim-hortigranjeiro-abril-2024.xlsx; tabelas-de-dados-boletim-hortigranjeiro-agosto-2024.xlsx; tabelas-de-dados-boletim-hortigranjeiro-dezembro-2024.xlsx; tabelas-de-dados-boletim-hortigranjeiro-fevereiro-2024.xlsx; tabelas-de-dados-boletim-hortigranjeiro-julho-2024.xlsx; tabelas-de-dados-boletim-hortigranjeiro-junho-2024.xlsx; tabelas-de-dados-boletim-hortigranjeiro-maio-2024.xlsx; tabelas-de-dados-boletim-hortigranjeiro-marco-2024.xlsx; tabelas-de-dados-boletim-hortigranjeiro-novembro-2024.xlsx; tabelas-de-dados-boletim-hortigranjeiro-outubro-2024.xlsx; tabelas-de-dados-boletim-hortigranjeiro-setembro-2024.xlsx,Preços-Banana; Quantidade-Banana
2024,1,CEASA/ES - Vitória,BATATA,Hortaliças,6.031019223222514,3440110.0,tabelas-de-dados-boletim-hortigranjeiro-abril-2024.xlsx; tabelas-de-dados-boletim-hortigranjeiro-agosto-2024.xlsx; tabelas-de-dados-boletim-hortigranjeiro-dezembro-2024.xlsx; tabelas-de-dados-boletim-hortigranjeiro-fevereiro-2024.xlsx; tabelas-de-dados-boletim-hortigranjeiro-julho-2024.xlsx; tabelas-de-dados-boletim-hortigranjeiro-junho-2024.xlsx; tabelas-de-dados-boletim-hortigranjeiro-maio-2024.xlsx; tabelas-de-dados-boletim-hortigranjeiro-marco-2024.xlsx; tabelas-de-dados-boletim-hortigranjeiro-novembro-2024.xlsx; tabelas-de-dados-boletim-hortigranjeiro-outubro-2024.xlsx; tabelas-de-dados-boletim-hortigranjeiro-setembro-2024.xlsx,Preços-Batata; Quantidade-Batata
2024,1,CEASA/ES - Vitória,CEBOLA,Hortaliças,3.594018624641834,1328992.0,tabelas-de-dados-boletim-hortigranjeiro-abril-2024.xlsx; tabelas-de-dados-boletim-hortigranjeiro-agosto-2024.xlsx; tabelas-de-dados-boletim-hortigranjeiro-dezembro-2024.xlsx; tabelas-de-dados-boletim-hortigranjeiro-fevereiro-2024.xlsx; tabelas-de-dados-boletim-hortigranjeiro-julho-2024.xlsx; tabelas-de-dados-boletim-hortigranjeiro-junho-2024.xlsx; tabelas-de-dados-boletim-hortigranjeiro-maio-2024.xlsx; tabelas-de-dados-boletim-hortigranjeiro-marco-2024.xlsx; tabelas-de-dados-boletim-hortigranjeiro-novembro-2024.xlsx; tabelas-de-dados-boletim-hortigranjeiro-outubro-2024.xlsx; tabelas-de-dados-boletim-hortigranjeiro-setembro-2024.xlsx,Preços-Cebola; Quantidade-Cebola
2024,1,CEASA/ES - Vitória,CENOURA,Hortaliças,6.657355053989203,800160.0,tabelas-de-dados-boletim-hortigranjeiro-abril-2024.xlsx; tabelas-de-dados-boletim-hortigranjeiro-agosto-2024.xlsx; tabelas-de-dados-boletim-hortigranjeiro-dezembro-2024.xlsx; tabelas-de-dados-boletim-hortigranjeiro-fevereiro-2024.xlsx; tabelas-de-dados-boletim-hortigranjeiro-julho-2024.xlsx; tabelas-de-dados-boletim-hortigranjeiro-junho-2024.xlsx; tabelas-de-dados-boletim-hortigranjeiro-maio-2024.xlsx; tabelas-de-dados-boletim-hortigranjeiro-marco-2024.xlsx; tabelas-de-dados-boletim-hortigranjeiro-novembro-2024.xlsx; tabelas-de-dados-boletim-hortigranjeiro-outubro-2024.xlsx; tabelas-de-dados-boletim-hortigranjeiro-setembro-2024.xlsx,Preços-Cenoura; Quantidade-Cenoura
2024,1,CEASA/ES - Vitória,LARANJA,Frutas,3.2897290816223648,3471230.0,tabelas-de-dados-boletim-hortigranjeiro-abril-2024.xlsx; tabelas-de-dados-boletim-hortigranjeiro-agosto-2024.xlsx; tabelas-de-dados-boletim-hortigranjeiro-dezembro-2024.xlsx; tabelas-de-dados-boletim-hortigranjeiro-fevereiro-2024.xlsx; tabelas-de-dados-boletim-hortigranjeiro-julho-2024.xlsx; tabelas-de-dados-boletim-hortigranjeiro-junho-2024.xlsx; tabelas-de-dados-boletim-hortigranjeiro-maio-2024.xlsx; tabelas-de-dados-boletim-hortigranjeiro-marco-2024.xlsx; tabelas-de-dados-boletim-hortigranjeiro-novembro-2024.xlsx; tabelas-de-dados-boletim-hortigranjeiro-outubro-2024.xlsx; tabelas-de-dados-boletim-hortigranjeiro-setembro-2024.xlsx,Preços-Laranja; Quantidade-Laranja
2024,1,CEASA/ES - Vitória,MACA,Frutas,8.505628201044273,2206897.0,tabelas-de-dados-boletim-hortigranjeiro-abril-2024.xlsx; tabelas-de-dados-boletim-hortigranjeiro-agosto-2024.xlsx; tabelas-de-dados-boletim-hortigranjeiro-dezembro-2024.xlsx; tabelas-de-dados-boletim-hortigranjeiro-fevereiro-2024.xlsx; tabelas-de-dados-boletim-hortigranjeiro-julho-2024.xlsx; tabelas-de-dados-boletim-hortigranjeiro-junho-2024.xlsx; tabelas-de-dados-boletim-hortigranjeiro-maio-2024.xlsx; tabelas-de-dados-boletim-hortigranjeiro-marco-2024.xlsx; tabelas-de-dados-boletim-hortigranjeiro-novembro-2024.xlsx; tabelas-de-dados-boletim-hortigranjeiro-outubro-2024.xlsx; tabelas-de-dados-boletim-hortigranjeiro-setembro-2024.xlsx,Preços-Maçã; Quantidade-Maçã
2024,1,CEASA/ES - Vitória,MAMAO,Frutas,2.8699156775231685,621122.0,tabelas-de-dados-boletim-hortigranjeiro-abril-2024.xlsx; tabelas-de-dados-boletim-hortigranjeiro-agosto-2024.xlsx; tabelas-de-dados-boletim-hortigranjeiro-dezembro-2024.xlsx; tabelas-de-dados-boletim-hortigranjeiro-fevereiro-2024.xlsx; tabelas-de-dados-boletim-hortigranjeiro-julho-2024.xlsx; tabelas-de-dados-boletim-hortigranjeiro-junho-2024.xlsx; tabelas-de-dados-boletim-hortigranjeiro-maio-2024.xlsx; tabelas-de-dados-boletim-hortigranjeiro-marco-2024.xlsx; tabelas-de-dados-boletim-hortigranjeiro-novembro-2024.xlsx; tabelas-de-dados-boletim-hortigranjeiro-outubro-2024.xlsx; tabelas-de-dados-boletim-hortigranjeiro-setembro-2024.xlsx,Preços-Mamão; Quantidade-Mamão
2024,1,CEASA/ES - Vitória,MELANCIA,Frutas,2.430072965761952,1333851.0,tabelas-de-dados-boletim-hortigranjeiro-abril-2024.xlsx; tabelas-de-dados-boletim-hortigranjeiro-agosto-2024.xlsx; tabelas-de-dados-boletim-hortigranjeiro-dezembro-2024.xlsx; tabelas-de-dados-boletim-hortigranjeiro-fevereiro-2024.xlsx; tabelas-de-dados-boletim-hortigranjeiro-julho-2024.xlsx; tabelas-de-dados-boletim-hortigranjeiro-junho-2024.xlsx; tabelas-de-dados-boletim-hortigranjeiro-maio-2024.xlsx; tabelas-de-dados-boletim-hortigranjeiro-marco-2024.xlsx; tabelas-de-dados-boletim-hortigranjeiro-novembro-2024.xlsx; tabelas-de-dados-boletim-hortigranjeiro-outubro-2024.xlsx; tabelas-de-dados-boletim-hortigranjeiro-setembro-2024.xlsx,Preços-Melancia; Quantidade-Melancia
2024,1,CEASA/ES - Vitória,TOMATE,Hortaliças,4.191620695732136,1770394.0,tabelas-de-dados-boletim-hortigranjeiro-abril-2024.xlsx; tabelas-de-dados-boletim-hortigranjeiro-agosto-2024.xlsx; tabelas-de-dados-boletim-hortigranjeiro-dezembro-2024.xlsx; tabelas-de-dados-boletim-hortigranjeiro-fevereiro-2024.xlsx; tabelas-de-dados-boletim-hortigranjeiro-julho-2024.xlsx; tabelas-de-dados-boletim-hortigranjeiro-junho-2024.xlsx; tabelas-de-dados-boletim-hortigranjeiro-maio-2024.xlsx; tabelas-de-dados-boletim-hortigranjeiro-marco-2024.xlsx; tabelas-de-dados-boletim-hortigranjeiro-novembro-2024.xlsx; tabelas-de-dados-boletim-hortigranjeiro-outubro-2024.xlsx; tabelas-de-dados-boletim-hortigranjeiro-setembro-2024.xlsx,Preços-Tomate; Quantidade-Tomate
